List	Class	Genes
Arrhythmic Syndromes Aug 2015 Fatkin	Cardiac	CAV3
Arrhythmic Syndromes Aug 2015 Fatkin	Cardiac	CASQ2
Arrhythmic Syndromes Aug 2015 Fatkin	Cardiac	RYR2
Arrhythmic Syndromes Aug 2015 Fatkin	Cardiac	SCN5A
Arrhythmogenic Right Ventricular Cardiomyopathy Aug 2015 Fatkin	Cardiac	TTN
Arrhythmogenic Right Ventricular Cardiomyopathy Aug 2015 Fatkin	Cardiac	DSC2
Arrhythmogenic Right Ventricular Cardiomyopathy Aug 2015 Fatkin	Cardiac	DSG2
Arrhythmogenic Right Ventricular Cardiomyopathy Aug 2015 Fatkin	Cardiac	DSP
Arrhythmogenic Right Ventricular Cardiomyopathy Aug 2015 Fatkin	Cardiac	JUP
Arrhythmogenic Right Ventricular Cardiomyopathy Aug 2015 Fatkin	Cardiac	PKP2
Arrhythmogenic Right Ventricular Cardiomyopathy Aug 2015 Fatkin	Cardiac	RYR2
Arrhythmogenic Right Ventricular Cardiomyopathy Aug 2015 Fatkin	Cardiac	TMEM43
Cardiac Orphanet May 2015	Cardiac	ABCC9
Cardiac Orphanet May 2015	Cardiac	ACAD8
Cardiac Orphanet May 2015	Cardiac	ACAD9
Cardiac Orphanet May 2015	Cardiac	ACADL
Cardiac Orphanet May 2015	Cardiac	ACTC1
Cardiac Orphanet May 2015	Cardiac	ACTN2
Cardiac Orphanet May 2015	Cardiac	ACVR2B
Cardiac Orphanet May 2015	Cardiac	AGK
Cardiac Orphanet May 2015	Cardiac	AKAP9
Cardiac Orphanet May 2015	Cardiac	ANK2
Cardiac Orphanet May 2015	Cardiac	BAG3
Cardiac Orphanet May 2015	Cardiac	CACNA1C
Cardiac Orphanet May 2015	Cardiac	CACNA2D1
Cardiac Orphanet May 2015	Cardiac	CACNB2
Cardiac Orphanet May 2015	Cardiac	CALM1
Cardiac Orphanet May 2015	Cardiac	CASQ2
Cardiac Orphanet May 2015	Cardiac	CAV3
Cardiac Orphanet May 2015	Cardiac	CFAP53
Cardiac Orphanet May 2015	Cardiac	CFC1
Cardiac Orphanet May 2015	Cardiac	CITED2
Cardiac Orphanet May 2015	Cardiac	COQ9
Cardiac Orphanet May 2015	Cardiac	CRELD1
Cardiac Orphanet May 2015	Cardiac	CRYAB
Cardiac Orphanet May 2015	Cardiac	CSRP3
Cardiac Orphanet May 2015	Cardiac	CTNNA3
Cardiac Orphanet May 2015	Cardiac	DES
Cardiac Orphanet May 2015	Cardiac	DMD
Cardiac Orphanet May 2015	Cardiac	DNAJC19
Cardiac Orphanet May 2015	Cardiac	DOLK
Cardiac Orphanet May 2015	Cardiac	DPP6
Cardiac Orphanet May 2015	Cardiac	DSC2
Cardiac Orphanet May 2015	Cardiac	DSG2
Cardiac Orphanet May 2015	Cardiac	DSP
Cardiac Orphanet May 2015	Cardiac	DTNA
Cardiac Orphanet May 2015	Cardiac	ELAC2
Cardiac Orphanet May 2015	Cardiac	ELN
Cardiac Orphanet May 2015	Cardiac	EYA4
Cardiac Orphanet May 2015	Cardiac	FHL2
Cardiac Orphanet May 2015	Cardiac	FKTN
Cardiac Orphanet May 2015	Cardiac	FLNA
Cardiac Orphanet May 2015	Cardiac	GATA4
Cardiac Orphanet May 2015	Cardiac	GATA5
Cardiac Orphanet May 2015	Cardiac	GATA6
Cardiac Orphanet May 2015	Cardiac	GATAD1
Cardiac Orphanet May 2015	Cardiac	GDF1
Cardiac Orphanet May 2015	Cardiac	GJA1
Cardiac Orphanet May 2015	Cardiac	GJA5
Cardiac Orphanet May 2015	Cardiac	GPD1L
Cardiac Orphanet May 2015	Cardiac	GYS1
Cardiac Orphanet May 2015	Cardiac	HCN4
Cardiac Orphanet May 2015	Cardiac	JAG1
Cardiac Orphanet May 2015	Cardiac	JUP
Cardiac Orphanet May 2015	Cardiac	KCNA5
Cardiac Orphanet May 2015	Cardiac	KCND3
Cardiac Orphanet May 2015	Cardiac	KCNE1
Cardiac Orphanet May 2015	Cardiac	KCNE2
Cardiac Orphanet May 2015	Cardiac	KCNE3
Cardiac Orphanet May 2015	Cardiac	KCNH2
Cardiac Orphanet May 2015	Cardiac	KCNJ2
Cardiac Orphanet May 2015	Cardiac	KCNJ5
Cardiac Orphanet May 2015	Cardiac	KCNJ8
Cardiac Orphanet May 2015	Cardiac	KCNQ1
Cardiac Orphanet May 2015	Cardiac	LAMA4
Cardiac Orphanet May 2015	Cardiac	LDB3
Cardiac Orphanet May 2015	Cardiac	LEFTY2
Cardiac Orphanet May 2015	Cardiac	LMNA
Cardiac Orphanet May 2015	Cardiac	MED13L
Cardiac Orphanet May 2015	Cardiac	MIB1
Cardiac Orphanet May 2015	Cardiac	MRPL44
Cardiac Orphanet May 2015	Cardiac	MT-CYB
Cardiac Orphanet May 2015	Cardiac	MT-ND3
Cardiac Orphanet May 2015	Cardiac	MT-ND4
Cardiac Orphanet May 2015	Cardiac	MT-ND6
Cardiac Orphanet May 2015	Cardiac	MT-TK
Cardiac Orphanet May 2015	Cardiac	MT-TL1
Cardiac Orphanet May 2015	Cardiac	MTO1
Cardiac Orphanet May 2015	Cardiac	MYBPC3
Cardiac Orphanet May 2015	Cardiac	MYH6
Cardiac Orphanet May 2015	Cardiac	MYH7
Cardiac Orphanet May 2015	Cardiac	MYH7B
Cardiac Orphanet May 2015	Cardiac	MYH8
Cardiac Orphanet May 2015	Cardiac	MYO6
Cardiac Orphanet May 2015	Cardiac	MYPN
Cardiac Orphanet May 2015	Cardiac	NDUFAF1
Cardiac Orphanet May 2015	Cardiac	NEXN
Cardiac Orphanet May 2015	Cardiac	NKX2-5
Cardiac Orphanet May 2015	Cardiac	NKX2-6
Cardiac Orphanet May 2015	Cardiac	NODAL
Cardiac Orphanet May 2015	Cardiac	NOS1AP
Cardiac Orphanet May 2015	Cardiac	NOTCH1
Cardiac Orphanet May 2015	Cardiac	NPPA
Cardiac Orphanet May 2015	Cardiac	NR2F2
Cardiac Orphanet May 2015	Cardiac	NUP155
Cardiac Orphanet May 2015	Cardiac	PITX2
Cardiac Orphanet May 2015	Cardiac	PKP2
Cardiac Orphanet May 2015	Cardiac	PLN
Cardiac Orphanet May 2015	Cardiac	PLXND1
Cardiac Orphanet May 2015	Cardiac	PRDM16
Cardiac Orphanet May 2015	Cardiac	PRKAR1A
Cardiac Orphanet May 2015	Cardiac	PSEN1
Cardiac Orphanet May 2015	Cardiac	PSEN2
Cardiac Orphanet May 2015	Cardiac	RAF1
Cardiac Orphanet May 2015	Cardiac	RBM10
Cardiac Orphanet May 2015	Cardiac	RBM20
Cardiac Orphanet May 2015	Cardiac	RYR2
Cardiac Orphanet May 2015	Cardiac	SCN1B
Cardiac Orphanet May 2015	Cardiac	SCN2B
Cardiac Orphanet May 2015	Cardiac	SCN3B
Cardiac Orphanet May 2015	Cardiac	SCN4B
Cardiac Orphanet May 2015	Cardiac	SCN5A
Cardiac Orphanet May 2015	Cardiac	SDHA
Cardiac Orphanet May 2015	Cardiac	SGCD
Cardiac Orphanet May 2015	Cardiac	SLC25A20
Cardiac Orphanet May 2015	Cardiac	SLC25A3
Cardiac Orphanet May 2015	Cardiac	SLC25A4
Cardiac Orphanet May 2015	Cardiac	SLMAP
Cardiac Orphanet May 2015	Cardiac	SMAD6
Cardiac Orphanet May 2015	Cardiac	SNTA1
Cardiac Orphanet May 2015	Cardiac	TAZ
Cardiac Orphanet May 2015	Cardiac	TBX20
Cardiac Orphanet May 2015	Cardiac	TCAP
Cardiac Orphanet May 2015	Cardiac	TGFB3
Cardiac Orphanet May 2015	Cardiac	TLL1
Cardiac Orphanet May 2015	Cardiac	TMEM43
Cardiac Orphanet May 2015	Cardiac	TMPO
Cardiac Orphanet May 2015	Cardiac	TNNC1
Cardiac Orphanet May 2015	Cardiac	TNNI3
Cardiac Orphanet May 2015	Cardiac	TNNT2
Cardiac Orphanet May 2015	Cardiac	TPM1
Cardiac Orphanet May 2015	Cardiac	TRDN
Cardiac Orphanet May 2015	Cardiac	TRPM4
Cardiac Orphanet May 2015	Cardiac	TTN
Cardiac Orphanet May 2015	Cardiac	TTR
Cardiac Orphanet May 2015	Cardiac	TXNRD2
Cardiac Orphanet May 2015	Cardiac	VCL
Cardiac Orphanet May 2015	Cardiac	ZFPM2
Cardiac Orphanet May 2015	Cardiac	ZIC3
Cardiomyopathy, MedGenome, July 2015	Cardiac	ABCC9
Cardiomyopathy, MedGenome, July 2015	Cardiac	ACTC1
Cardiomyopathy, MedGenome, July 2015	Cardiac	ACTN2
Cardiomyopathy, MedGenome, July 2015	Cardiac	BAG3
Cardiomyopathy, MedGenome, July 2015	Cardiac	CALR3
Cardiomyopathy, MedGenome, July 2015	Cardiac	CAV3
Cardiomyopathy, MedGenome, July 2015	Cardiac	CRYAB
Cardiomyopathy, MedGenome, July 2015	Cardiac	CSRP3
Cardiomyopathy, MedGenome, July 2015	Cardiac	CTNNA3
Cardiomyopathy, MedGenome, July 2015	Cardiac	DES
Cardiomyopathy, MedGenome, July 2015	Cardiac	DMD
Cardiomyopathy, MedGenome, July 2015	Cardiac	DSC2
Cardiomyopathy, MedGenome, July 2015	Cardiac	DSG2
Cardiomyopathy, MedGenome, July 2015	Cardiac	DSP
Cardiomyopathy, MedGenome, July 2015	Cardiac	EYA4
Cardiomyopathy, MedGenome, July 2015	Cardiac	FKTN
Cardiomyopathy, MedGenome, July 2015	Cardiac	GATAD1
Cardiomyopathy, MedGenome, July 2015	Cardiac	JPH2
Cardiomyopathy, MedGenome, July 2015	Cardiac	JUP
Cardiomyopathy, MedGenome, July 2015	Cardiac	LAMA4
Cardiomyopathy, MedGenome, July 2015	Cardiac	LDB3
Cardiomyopathy, MedGenome, July 2015	Cardiac	LMNA
Cardiomyopathy, MedGenome, July 2015	Cardiac	MYBPC3
Cardiomyopathy, MedGenome, July 2015	Cardiac	MYH6
Cardiomyopathy, MedGenome, July 2015	Cardiac	MYH7
Cardiomyopathy, MedGenome, July 2015	Cardiac	MYL2
Cardiomyopathy, MedGenome, July 2015	Cardiac	MYL3
Cardiomyopathy, MedGenome, July 2015	Cardiac	MYLK2
Cardiomyopathy, MedGenome, July 2015	Cardiac	MYOZ2
Cardiomyopathy, MedGenome, July 2015	Cardiac	MYPN
Cardiomyopathy, MedGenome, July 2015	Cardiac	NEXN
Cardiomyopathy, MedGenome, July 2015	Cardiac	PKP2
Cardiomyopathy, MedGenome, July 2015	Cardiac	PLN
Cardiomyopathy, MedGenome, July 2015	Cardiac	PRDM16
Cardiomyopathy, MedGenome, July 2015	Cardiac	PRKAG2
Cardiomyopathy, MedGenome, July 2015	Cardiac	PSEN1
Cardiomyopathy, MedGenome, July 2015	Cardiac	PSEN2
Cardiomyopathy, MedGenome, July 2015	Cardiac	RBM20
Cardiomyopathy, MedGenome, July 2015	Cardiac	RYR2
Cardiomyopathy, MedGenome, July 2015	Cardiac	SCN5A
Cardiomyopathy, MedGenome, July 2015	Cardiac	SDHA
Cardiomyopathy, MedGenome, July 2015	Cardiac	SGCD
Cardiomyopathy, MedGenome, July 2015	Cardiac	TCAP
Cardiomyopathy, MedGenome, July 2015	Cardiac	TGFB3
Cardiomyopathy, MedGenome, July 2015	Cardiac	TMEM43
Cardiomyopathy, MedGenome, July 2015	Cardiac	TMPO
Cardiomyopathy, MedGenome, July 2015	Cardiac	TNNC1
Cardiomyopathy, MedGenome, July 2015	Cardiac	TNNI3
Cardiomyopathy, MedGenome, July 2015	Cardiac	TNNT2
Cardiomyopathy, MedGenome, July 2015	Cardiac	TPM1
Cardiomyopathy, MedGenome, July 2015	Cardiac	TTN
Cardiomyopathy, MedGenome, July 2015	Cardiac	VCL
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	ACTC1
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	MYBPC3
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	MYH6
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	MYH7
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	TNNC1
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	TNNI3
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	TNNT2
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	TTN
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	ACTN2
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	ANKRD1
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	BAG3
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	CSRP3
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	FHL2
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	LDB3
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	MURC
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	MYPN
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	NEBL
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	NEXN
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	TCAP
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	VCL
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	DES
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	DMD
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	CHRM2
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	ILK
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	LAMA4
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	SGCB
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	SGCD
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	DSC2
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	DSG2
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	DSP
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	PKP2
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	EMD
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	EYA4
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	GATAD1
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	LMNA
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	NKX2-5
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	PRDM16
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	RBM20
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	TMPO
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	PLN
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	ABCC9
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	SCN5A
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	CRYAB
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	FKTN
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	PSEN1
Cardiomyopathy Dilated Fatkin Aug 2015	Cardiac	PSEN2
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	ACTC1
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	MYBPC3
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	MYH6
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	MYH7
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	MYL2
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	MYL3
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	MYLK2
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	TNNC1
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	TNNI3
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	TNNT2
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	TTN
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	ACTN2
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	ANKRD1
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	CSRP3
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	LDB3
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	MYOZ2
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	NEXN
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	TCAP
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	VCL
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	CAV3
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	CASQ2
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	JPH2
Cardiomyopathy Hypertrophic Fatkin Aug 2015	Cardiac	PLN
Left Ventricular Non Compaction Aug 2015 Fatkin	Cardiac	ACTC1
Left Ventricular Non Compaction Aug 2015 Fatkin	Cardiac	MYBPC3
Left Ventricular Non Compaction Aug 2015 Fatkin	Cardiac	MYH7
Left Ventricular Non Compaction Aug 2015 Fatkin	Cardiac	TNNI3
Left Ventricular Non Compaction Aug 2015 Fatkin	Cardiac	TNNT2
Left Ventricular Non Compaction Aug 2015 Fatkin	Cardiac	LDB3
Left Ventricular Non Compaction Aug 2015 Fatkin	Cardiac	DTNA
Left Ventricular Non Compaction Aug 2015 Fatkin	Cardiac	DSP
Left Ventricular Non Compaction Aug 2015 Fatkin	Cardiac	LMNA
Left Ventricular Non Compaction Aug 2015 Fatkin	Cardiac	NKX2-5
