"model","ref_af","variable","p","Z","pholm"
"AlzheimersDisease:Lambert:10.1038/ng.2802","external","m1",2.49993750156246e-05,-7.30625844912407,0.00122496937576561
"AlzheimersDisease:Lambert:10.1038/ng.2802","external","m2",0.244518887027824,0.658808833650149,1
"AlzheimersDisease:Lambert:10.1038/ng.2802","external","m3",0.24814379640509,0.680830944753675,1
"AlzheimersDisease:Lambert:10.1038/ng.2802","external","m4",0.392390190245244,-0.309422545280636,1
"BasalCellCarcinoma:Chahal:10.1038/ncomms12510","external","m1",2.49993750156246e-05,22.4177103149303,0.00122496937576561
"BasalCellCarcinoma:Chahal:10.1038/ncomms12510","external","m2",2.49993750156246e-05,16.510964576041,0.00122496937576561
"BasalCellCarcinoma:Chahal:10.1038/ncomms12510","external","m3",0.197745056373591,0.842134941950081,1
"BasalCellCarcinoma:Chahal:10.1038/ncomms12510","external","m4",0.120521986950326,-1.12388712691396,1
"BreastCancer:Michailidou:10.1038/nature24284","external","m1",0.000774980625484363,-3.24603162992092,0.025574360640984
"BreastCancer:Michailidou:10.1038/nature24284","external","m2",2.49993750156246e-05,8.13687547529904,0.00122496937576561
"BreastCancer:Michailidou:10.1038/nature24284","external","m3",0.00102497437564061,3.12092687156938,0.0327991800204995
"BreastCancer:Michailidou:10.1038/nature24284","external","m4",0.086172845678858,1.38518940935477,1
"ColorectalCancer:Schumacher:10.1038/ncomms8138","external","m1",0.287942801429964,0.518026891926792,1
"ColorectalCancer:Schumacher:10.1038/ncomms8138","external","m2",2.49993750156246e-05,21.3920492267326,0.00122496937576561
"ColorectalCancer:Schumacher:10.1038/ncomms8138","external","m3",0.0198245043873903,-2.04508940179549,0.515437114072148
"ColorectalCancer:Schumacher:10.1038/ncomms8138","external","m4",0.390715232119197,-0.31548121469161,1
"DiastolicBP:Warren:10.1038/ng.3768","external","m1",7.49981250468738e-05,-12.7250923520723,0.00284992875178121
"DiastolicBP:Warren:10.1038/ng.3768","external","m2",0.230819229519262,-0.738723728493387,1
"DiastolicBP:Warren:10.1038/ng.3768","external","m3",0.337941551461213,0.422009929164704,1
"DiastolicBP:Warren:10.1038/ng.3768","external","m4",0.0905477363065923,1.35247841475171,1
"EOCAD:Theriault:10.1161/circgen.117.001849","external","m1",9.99975000624984e-05,-11.7739626186803,0.00369990750231244
"EOCAD:Theriault:10.1161/circgen.117.001849","external","m2",0.000449988750281243,3.49777155706343,0.0152996175095623
"EOCAD:Theriault:10.1161/circgen.117.001849","external","m3",0.426314342141446,-0.188880775881493,1
"EOCAD:Theriault:10.1161/circgen.117.001849","external","m4",0.3814404639884,-0.347610437657955,1
"Height:Wood:10.1038/ng.3097","external","m1",0.00614984625384365,-3.30378895330699,0.178345541361466
"Height:Wood:10.1038/ng.3097","external","m2",2.49993750156246e-05,10.2154383090001,0.00122496937576561
"Height:Wood:10.1038/ng.3097","external","m3",0.00702482437939052,-2.47388470233868,0.196695082622934
"Height:Wood:10.1038/ng.3097","external","m4",0.0260993475163121,2.08059670092419,0.62638434039149
"Longevity:Deelen:10.1093/hmg/ddu139","external","m1",2.49993750156246e-05,16.2217624274323,0.00122496937576561
"Melanoma:Law:10.1038/ng.3373","external","m1",0.388315292117697,-0.285310154092979,1
"Melanoma:Law:10.1038/ng.3373","external","m2",0.455363615909602,0.0953651962245711,1
"Melanoma:Law:10.1038/ng.3373","external","m3",0.0425989350266243,1.71846734563713,0.937176570585735
"Melanoma:Law:10.1038/ng.3373","external","m4",0.482012949676258,-0.0916889642617959,1
"ProstateCancer:Hoffmann:10.1158/2159-8290.CD-15-0315","external","m1",2.49993750156246e-05,-7.19472097682413,0.00122496937576561
"ProstateCancer:Hoffmann:10.1158/2159-8290.CD-15-0315","external","m2",0.00424989375265618,2.73269106569284,0.131746706332342
"ProstateCancer:Hoffmann:10.1158/2159-8290.CD-15-0315","external","m3",0.00499987500312492,2.62814472773844,0.149996250093748
"ProstateCancer:Hoffmann:10.1158/2159-8290.CD-15-0315","external","m4",0.0200994975125622,2.26341889967232,0.515437114072148
"PulsePressure:Warren:10.1038/ng.3768","external","m1",0.000124996875078123,-3.78476784658674,0.00449988750281243
"PulsePressure:Warren:10.1038/ng.3768","external","m2",0.282192945176371,-0.579722908966345,1
"PulsePressure:Warren:10.1038/ng.3768","external","m3",0.34259143521412,0.409390351008305,1
"PulsePressure:Warren:10.1038/ng.3768","external","m4",0.0287492812679683,-1.76378104810299,0.661233469163271
"SquamousCellCarcinoma:Chahal:10.1038/ncomms12048","external","m1",2.49993750156246e-05,36.500146854859,0.00122496937576561
"SquamousCellCarcinoma:Chahal:10.1038/ncomms12048","external","m2",2.49993750156246e-05,13.6035294619688,0.00122496937576561
"SquamousCellCarcinoma:Chahal:10.1038/ncomms12048","external","m3",2.49993750156246e-05,-4.96711311885818,0.00122496937576561
"SquamousCellCarcinoma:Chahal:10.1038/ncomms12048","external","m4",0.000149996250093748,-2.8795032068372,0.00524986875328117
"SystolicBP:Warren:10.1038/ng.3768","external","m1",0.0108997275068123,-2.25923505681553,0.294292642683933
"SystolicBP:Warren:10.1038/ng.3768","external","m2",0.481162970925727,0.0433338324428894,1
"SystolicBP:Warren:10.1038/ng.3768","external","m3",0.450188745281368,-0.123737143821705,1
"SystolicBP:Warren:10.1038/ng.3768","external","m4",0.418839529011775,0.156892180112329,1
