List	Class	Genes
COSMIC CGC 20171009	Cancer	ABI1
COSMIC CGC 20171009	Cancer	ABL1
COSMIC CGC 20171009	Cancer	ABL2
COSMIC CGC 20171009	Cancer	ACKR3
COSMIC CGC 20171009	Cancer	ACSL3
COSMIC CGC 20171009	Cancer	ACVR1
COSMIC CGC 20171009	Cancer	ACVR2A
COSMIC CGC 20171009	Cancer	AFF1
COSMIC CGC 20171009	Cancer	AFF3
COSMIC CGC 20171009	Cancer	AFF4
COSMIC CGC 20171009	Cancer	AKT1
COSMIC CGC 20171009	Cancer	AKT2
COSMIC CGC 20171009	Cancer	ALK
COSMIC CGC 20171009	Cancer	AMER1
COSMIC CGC 20171009	Cancer	APC
COSMIC CGC 20171009	Cancer	APOBEC3B
COSMIC CGC 20171009	Cancer	AR
COSMIC CGC 20171009	Cancer	ARHGAP26
COSMIC CGC 20171009	Cancer	ARHGEF12
COSMIC CGC 20171009	Cancer	ARID1A
COSMIC CGC 20171009	Cancer	ARID1B
COSMIC CGC 20171009	Cancer	ARID2
COSMIC CGC 20171009	Cancer	ARNT
COSMIC CGC 20171009	Cancer	ASPSCR1
COSMIC CGC 20171009	Cancer	ASXL1
COSMIC CGC 20171009	Cancer	ATF1
COSMIC CGC 20171009	Cancer	ATIC
COSMIC CGC 20171009	Cancer	ATM
COSMIC CGC 20171009	Cancer	ATP1A1
COSMIC CGC 20171009	Cancer	ATP2B3
COSMIC CGC 20171009	Cancer	ATR
COSMIC CGC 20171009	Cancer	ATRX
COSMIC CGC 20171009	Cancer	AXIN1
COSMIC CGC 20171009	Cancer	AXIN2
COSMIC CGC 20171009	Cancer	B2M
COSMIC CGC 20171009	Cancer	BAP1
COSMIC CGC 20171009	Cancer	BCL10
COSMIC CGC 20171009	Cancer	BCL11A
COSMIC CGC 20171009	Cancer	BCL11B
COSMIC CGC 20171009	Cancer	BCL2
COSMIC CGC 20171009	Cancer	BCL3
COSMIC CGC 20171009	Cancer	BCL6
COSMIC CGC 20171009	Cancer	BCL7A
COSMIC CGC 20171009	Cancer	BCL9
COSMIC CGC 20171009	Cancer	BCL9L
COSMIC CGC 20171009	Cancer	BCOR
COSMIC CGC 20171009	Cancer	BCORL1
COSMIC CGC 20171009	Cancer	BCR
COSMIC CGC 20171009	Cancer	BIRC3
COSMIC CGC 20171009	Cancer	BLM
COSMIC CGC 20171009	Cancer	BMPR1A
